Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
,,,,,,,
中華民國開國紀念日,2025/1/1,,2025/1/1,,TRUE,,
,,,,,,,
例假日,2025/1/4,,2025/1/4,,TRUE,,
,,,,,,,
例假日,2025/1/5,,2025/1/5,,TRUE,,
,,,,,,,
例假日,2025/1/11,,2025/1/11,,TRUE,,
,,,,,,,
例假日,2025/1/12,,2025/1/12,,TRUE,,
,,,,,,,
例假日,2025/1/18,,2025/1/18,,TRUE,,
,,,,,,,
例假日,2025/1/19,,2025/1/19,,TRUE,,
,,,,,,,
例假日,2025/1/25,,2025/1/25,,TRUE,,
,,,,,,,
例假日,2025/1/26,,2025/1/26,,TRUE,,
,,,,,,,
調整放假,2025/1/27,,2025/1/27,,TRUE,,
,,,,,,,
農曆除夕,2025/1/28,,2025/1/28,,TRUE,,
,,,,,,,
春節,2025/1/29,,2025/1/29,,TRUE,,
,,,,,,,
春節,2025/1/30,,2025/1/30,,TRUE,,
,,,,,,,
春節,2025/1/31,,2025/1/31,,TRUE,,
,,,,,,,
例假日,2025/2/1,,2025/2/1,,TRUE,,
,,,,,,,
例假日,2025/2/2,,2025/2/2,,TRUE,,
,,,,,,,
補行上班,2025/2/8,,2025/2/8,,TRUE,,
,,,,,,,
例假日,2025/2/9,,2025/2/9,,TRUE,,
,,,,,,,
例假日,2025/2/15,,2025/2/15,,TRUE,,
,,,,,,,
例假日,2025/2/16,,2025/2/16,,TRUE,,
,,,,,,,
例假日,2025/2/22,,2025/2/22,,TRUE,,
,,,,,,,
例假日,2025/2/23,,2025/2/23,,TRUE,,
,,,,,,,
和平紀念日,2025/2/28,,2025/2/28,,TRUE,,
,,,,,,,
例假日,2025/3/1,,2025/3/1,,TRUE,,
,,,,,,,
例假日,2025/3/2,,2025/3/2,,TRUE,,
,,,,,,,
例假日,2025/3/8,,2025/3/8,,TRUE,,
,,,,,,,
例假日,2025/3/9,,2025/3/9,,TRUE,,
,,,,,,,
例假日,2025/3/15,,2025/3/15,,TRUE,,
,,,,,,,
例假日,2025/3/16,,2025/3/16,,TRUE,,
,,,,,,,
例假日,2025/3/22,,2025/3/22,,TRUE,,
,,,,,,,
例假日,2025/3/23,,2025/3/23,,TRUE,,
,,,,,,,
例假日,2025/3/29,,2025/3/29,,TRUE,,
,,,,,,,
例假日,2025/3/30,,2025/3/30,,TRUE,,
,,,,,,,
補假,2025/4/3,,2025/4/3,,TRUE,,
,,,,,,,
兒童節及民族掃墓節,2025/4/4,,2025/4/4,,TRUE,,
,,,,,,,
例假日,2025/4/5,,2025/4/5,,TRUE,,
,,,,,,,
例假日,2025/4/6,,2025/4/6,,TRUE,,
,,,,,,,
例假日,2025/4/12,,2025/4/12,,TRUE,,
,,,,,,,
例假日,2025/4/13,,2025/4/13,,TRUE,,
,,,,,,,
例假日,2025/4/19,,2025/4/19,,TRUE,,
,,,,,,,
例假日,2025/4/20,,2025/4/20,,TRUE,,
,,,,,,,
例假日,2025/4/26,,2025/4/26,,TRUE,,
,,,,,,,
例假日,2025/4/27,,2025/4/27,,TRUE,,
,,,,,,,
例假日,2025/5/3,,2025/5/3,,TRUE,,
,,,,,,,
例假日,2025/5/4,,2025/5/4,,TRUE,,
,,,,,,,
例假日,2025/5/10,,2025/5/10,,TRUE,,
,,,,,,,
例假日,2025/5/11,,2025/5/11,,TRUE,,
,,,,,,,
例假日,2025/5/17,,2025/5/17,,TRUE,,
,,,,,,,
例假日,2025/5/18,,2025/5/18,,TRUE,,
,,,,,,,
例假日,2025/5/24,,2025/5/24,,TRUE,,
,,,,,,,
例假日,2025/5/25,,2025/5/25,,TRUE,,
,,,,,,,
補假,2025/5/30,,2025/5/30,,TRUE,,
,,,,,,,
端午節,2025/5/31,,2025/5/31,,TRUE,,
,,,,,,,
例假日,2025/6/1,,2025/6/1,,TRUE,,
,,,,,,,
例假日,2025/6/7,,2025/6/7,,TRUE,,
,,,,,,,
例假日,2025/6/8,,2025/6/8,,TRUE,,
,,,,,,,
例假日,2025/6/14,,2025/6/14,,TRUE,,
,,,,,,,
