Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
,,,,,,,
中華民國開國紀念日,2024/1/1,,2024/1/1,,TRUE,,
,,,,,,,
例假日,2024/1/6,,2024/1/6,,TRUE,,
,,,,,,,
例假日,2024/1/7,,2024/1/7,,TRUE,,
,,,,,,,
例假日,2024/1/13,,2024/1/13,,TRUE,,
,,,,,,,
例假日,2024/1/14,,2024/1/14,,TRUE,,
,,,,,,,
例假日,2024/1/20,,2024/1/20,,TRUE,,
,,,,,,,
例假日,2024/1/21,,2024/1/21,,TRUE,,
,,,,,,,
例假日,2024/1/27,,2024/1/27,,TRUE,,
,,,,,,,
例假日,2024/1/28,,2024/1/28,,TRUE,,
,,,,,,,
例假日,2024/2/3,,2024/2/3,,TRUE,,
,,,,,,,
例假日,2024/2/4,,2024/2/4,,TRUE,,
,,,,,,,
調整放假,2024/2/8,,2024/2/8,,TRUE,,
,,,,,,,
農曆除夕,2024/2/9,,2024/2/9,,TRUE,,
,,,,,,,
春節,2024/2/10,,2024/2/10,,TRUE,,
,,,,,,,
春節,2024/2/11,,2024/2/11,,TRUE,,
,,,,,,,
春節,2024/2/12,,2024/2/12,,TRUE,,
,,,,,,,
補假,2024/2/13,,2024/2/13,,TRUE,,
,,,,,,,
補假,2024/2/14,,2024/2/14,,TRUE,,
,,,,,,,
補行上班,2024/2/17,,2024/2/17,,TRUE,,
,,,,,,,
例假日,2024/2/18,,2024/2/18,,TRUE,,
,,,,,,,
例假日,2024/2/24,,2024/2/24,,TRUE,,
,,,,,,,
例假日,2024/2/25,,2024/2/25,,TRUE,,
,,,,,,,
和平紀念日,2024/2/28,,2024/2/28,,TRUE,,
,,,,,,,
例假日,2024/3/2,,2024/3/2,,TRUE,,
,,,,,,,
例假日,2024/3/3,,2024/3/3,,TRUE,,
,,,,,,,
例假日,2024/3/9,,2024/3/9,,TRUE,,
,,,,,,,
例假日,2024/3/10,,2024/3/10,,TRUE,,
,,,,,,,
例假日,2024/3/16,,2024/3/16,,TRUE,,
,,,,,,,
例假日,2024/3/17,,2024/3/17,,TRUE,,
,,,,,,,
例假日,2024/3/23,,2024/3/23,,TRUE,,
,,,,,,,
例假日,2024/3/24,,2024/3/24,,TRUE,,
,,,,,,,
例假日,2024/3/30,,2024/3/30,,TRUE,,
,,,,,,,
例假日,2024/3/31,,2024/3/31,,TRUE,,
,,,,,,,
兒童節及民族掃墓節,2024/4/4,,2024/4/4,,TRUE,,
,,,,,,,
補假,2024/4/5,,2024/4/5,,TRUE,,
,,,,,,,
例假日,2024/4/6,,2024/4/6,,TRUE,,
,,,,,,,
例假日,2024/4/7,,2024/4/7,,TRUE,,
,,,,,,,
例假日,2024/4/13,,2024/4/13,,TRUE,,
,,,,,,,
例假日,2024/4/14,,2024/4/14,,TRUE,,
,,,,,,,
例假日,2024/4/20,,2024/4/20,,TRUE,,
,,,,,,,
例假日,2024/4/21,,2024/4/21,,TRUE,,
,,,,,,,
例假日,2024/4/27,,2024/4/27,,TRUE,,
,,,,,,,
例假日,2024/4/28,,2024/4/28,,TRUE,,
,,,,,,,
例假日,2024/5/4,,2024/5/4,,TRUE,,
,,,,,,,
例假日,2024/5/5,,2024/5/5,,TRUE,,
,,,,,,,
例假日,2024/5/11,,2024/5/11,,TRUE,,
,,,,,,,
例假日,2024/5/12,,2024/5/12,,TRUE,,
,,,,,,,
例假日,2024/5/18,,2024/5/18,,TRUE,,
,,,,,,,
例假日,2024/5/19,,2024/5/19,,TRUE,,
,,,,,,,
例假日,2024/5/25,,2024/5/25,,TRUE,,
,,,,,,,
例假日,2024/5/26,,2024/5/26,,TRUE,,
,,,,,,,
例假日,2024/6/1,,2024/6/1,,TRUE,,
,,,,,,,
例假日,2024/6/2,,2024/6/2,,TRUE,,
,,,,,,,
例假日,2024/6/8,,2024/6/8,,TRUE,,
,,,,,,,
例假日,2024/6/9,,2024/6/9,,TRUE,,
,,,,,,,
端午節,2024/6/10,,2024/6/10,,TRUE,,
,,,,,,,
例假日,2024/6/15,,2024/6/15,,TRUE,,
,,,,,,,
例假日,2024/6/16,,2024/6/16,,TRUE,,
,,,,,,,
例假日,2024/6/22,,2024/6/22,,TRUE,,
