Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location
,,,,,,,
中華民國開國紀念日,2023/1/1,,2023/1/1,,TRUE,,
,,,,,,,
補假,2023/1/2,,2023/1/2,,TRUE,,
,,,,,,,
補行上班,2023/1/7,,2023/1/7,,TRUE,,
,,,,,,,
例假日,2023/1/8,,2023/1/8,,TRUE,,
,,,,,,,
例假日,2023/1/14,,2023/1/14,,TRUE,,
,,,,,,,
例假日,2023/1/15,,2023/1/15,,TRUE,,
,,,,,,,
調整放假,2023/1/20,,2023/1/20,,TRUE,,
,,,,,,,
農曆除夕,2023/1/21,,2023/1/21,,TRUE,,
,,,,,,,
春節,2023/1/22,,2023/1/22,,TRUE,,
,,,,,,,
春節,2023/1/23,,2023/1/23,,TRUE,,
,,,,,,,
春節,2023/1/24,,2023/1/24,,TRUE,,
,,,,,,,
補假,2023/1/25,,2023/1/25,,TRUE,,
,,,,,,,
補假,2023/1/26,,2023/1/26,,TRUE,,
,,,,,,,
調整放假,2023/1/27,,2023/1/27,,TRUE,,
,,,,,,,
例假日,2023/1/28,,2023/1/28,,TRUE,,
,,,,,,,
例假日,2023/1/29,,2023/1/29,,TRUE,,
,,,,,,,
補行上班,2023/2/4,,2023/2/4,,TRUE,,
,,,,,,,
例假日,2023/2/5,,2023/2/5,,TRUE,,
,,,,,,,
例假日,2023/2/11,,2023/2/11,,TRUE,,
,,,,,,,
例假日,2023/2/12,,2023/2/12,,TRUE,,
,,,,,,,
補行上班,2023/2/18,,2023/2/18,,TRUE,,
,,,,,,,
例假日,2023/2/19,,2023/2/19,,TRUE,,
,,,,,,,
例假日,2023/2/25,,2023/2/25,,TRUE,,
,,,,,,,
例假日,2023/2/26,,2023/2/26,,TRUE,,
,,,,,,,
調整放假,2023/2/27,,2023/2/27,,TRUE,,
,,,,,,,
和平紀念日,2023/2/28,,2023/2/28,,TRUE,,
,,,,,,,
例假日,2023/3/4,,2023/3/4,,TRUE,,
,,,,,,,
例假日,2023/3/5,,2023/3/5,,TRUE,,
,,,,,,,
例假日,2023/3/11,,2023/3/11,,TRUE,,
,,,,,,,
例假日,2023/3/12,,2023/3/12,,TRUE,,
,,,,,,,
例假日,2023/3/18,,2023/3/18,,TRUE,,
,,,,,,,
例假日,2023/3/19,,2023/3/19,,TRUE,,
,,,,,,,
補行上班,2023/3/25,,2023/3/25,,TRUE,,
,,,,,,,
例假日,2023/3/26,,2023/3/26,,TRUE,,
,,,,,,,
例假日,2023/4/1,,2023/4/1,,TRUE,,
,,,,,,,
例假日,2023/4/2,,2023/4/2,,TRUE,,
,,,,,,,
調整放假,2023/4/3,,2023/4/3,,TRUE,,
,,,,,,,
兒童節,2023/4/4,,2023/4/4,,TRUE,,
,,,,,,,
民族掃墓節,2023/4/5,,2023/4/5,,TRUE,,
,,,,,,,
例假日,2023/4/8,,2023/4/8,,TRUE,,
,,,,,,,
例假日,2023/4/9,,2023/4/9,,TRUE,,
,,,,,,,
例假日,2023/4/15,,2023/4/15,,TRUE,,
,,,,,,,
例假日,2023/4/16,,2023/4/16,,TRUE,,
,,,,,,,
例假日,2023/4/22,,2023/4/22,,TRUE,,
,,,,,,,
例假日,2023/4/23,,2023/4/23,,TRUE,,
,,,,,,,
例假日,2023/4/29,,2023/4/29,,TRUE,,
,,,,,,,
例假日,2023/4/30,,2023/4/30,,TRUE,,
,,,,,,,
例假日,2023/5/6,,2023/5/6,,TRUE,,
,,,,,,,
例假日,2023/5/7,,2023/5/7,,TRUE,,
,,,,,,,
例假日,2023/5/13,,2023/5/13,,TRUE,,
,,,,,,,
例假日,2023/5/14,,2023/5/14,,TRUE,,
,,,,,,,
例假日,2023/5/20,,2023/5/20,,TRUE,,
,,,,,,,
例假日,2023/5/21,,2023/5/21,,TRUE,,
,,,,,,,
例假日,2023/5/27,,2023/5/27,,TRUE,,
,,,,,,,
例假日,2023/5/28,,2023/5/28,,TRUE,,
,,,,,,,
例假日,2023/6/3,,2023/6/3,,TRUE,,
,,,,,,,
例假日,2023/6/4,,2023/6/4,,TRUE,,
,,,,,,,
例假日,2023/6/10,,2023/6/10,,TRUE,,
,,,,,,,
例假日,2023/6/11,,2023/6/11,,TRUE,,
,,,,,,,
補行上班,2023/6/17,,2023/6/17,,TRUE,,
,,,,,,,
例假日,2023/6/18,,2023/6/18,,TRUE,,
,,,,,,,
端午節,2023/6/22,,2023/6/22,,TRUE,,
,,,,,,,
調整放假,2023/6/23,,2023/6/23,,TRUE,,
,,,,,,,
例假日,2023/6/24,,2023/6/24,,TRUE,,
,,,,,,,
例假日,2023/6/25,,2023/6/25,,TRUE,,
,,,,,,,
例假日,2023/7/1,,2023/7/1,,TRUE,,
,,,,,,,
例假日,2023/7/2,,2023/7/2,,TRUE,,
,,,,,,,
例假日,2023/7/8,,2023/7/8,,TRUE,,
,,,,,,,
例假日,2023/7/9,,2023/7/9,,TRUE,,
,,,,,,,
例假日,2023/7/15,,2023/7/15,,TRUE,,
,,,,,,,
例假日,2023/7/16,,2023/7/16,,TRUE,,
,,,,,,,
例假日,2023/7/22,,2023/7/22,,TRUE,,
,,,,,,,
例假日,2023/7/23,,2023/7/23,,TRUE,,
,,,,,,,
例假日,2023/7/29,,2023/7/29,,TRUE,,
,,,,,,,
例假日,2023/7/30,,2023/7/30,,TRUE,,
,,,,,,,
例假日,2023/8/5,,2023/8/5,,TRUE,,
,,,,,,,
例假日,2023/8/6,,2023/8/6,,TRUE,,
,,,,,,,
例假日,2023/8/12,,2023/8/12,,TRUE,,
,,,,,,,
例假日,2023/8/13,,2023/8/13,,TRUE,,
,,,,,,,
例假日,2023/8/19,,2023/8/19,,TRUE,,
,,,,,,,
例假日,2023/8/20,,2023/8/20,,TRUE,,
,,,,,,,
例假日,2023/8/26,,2023/8/26,,TRUE,,
,,,,,,,
例假日,2023/8/27,,2023/8/27,,TRUE,,
,,,,,,,
例假日,2023/9/2,,2023/9/2,,TRUE,,
,,,,,,,
例假日,2023/9/3,,2023/9/3,,TRUE,,
,,,,,,,
例假日,2023/9/9,,2023/9/9,,TRUE,,
,,,,,,,
例假日,2023/9/10,,2023/9/10,,TRUE,,
,,,,,,,
例假日,2023/9/16,,2023/9/16,,TRUE,,
,,,,,,,
例假日,2023/9/17,,2023/9/17,,TRUE,,
,,,,,,,
補行上班,2023/9/23,,2023/9/23,,TRUE,,
,,,,,,,
例假日,2023/9/24,,2023/9/24,,TRUE,,
,,,,,,,
中秋節,2023/9/29,,2023/9/29,,TRUE,,
,,,,,,,
例假日,2023/9/30,,2023/9/30,,TRUE,,
,,,,,,,
例假日,2023/10/1,,2023/10/1,,TRUE,,
,,,,,,,
例假日,2023/10/7,,2023/10/7,,TRUE,,
,,,,,,,
例假日,2023/10/8,,2023/10/8,,TRUE,,
,,,,,,,
調整放假,2023/10/9,,2023/10/9,,TRUE,,
,,,,,,,
國慶日,2023/10/10,,2023/10/10,,TRUE,,
,,,,,,,
例假日,2023/10/14,,2023/10/14,,TRUE,,
,,,,,,,
例假日,2023/10/15,,2023/10/15,,TRUE,,
,,,,,,,
例假日,2023/10/21,,2023/10/21,,TRUE,,
,,,,,,,
例假日,2023/10/22,,2023/10/22,,TRUE,,
,,,,,,,
例假日,2023/10/28,,2023/10/28,,TRUE,,
,,,,,,,
例假日,2023/10/29,,2023/10/29,,TRUE,,
,,,,,,,
例假日,2023/11/4,,2023/11/4,,TRUE,,
,,,,,,,
例假日,2023/11/5,,2023/11/5,,TRUE,,
,,,,,,,
例假日,2023/11/11,,2023/11/11,,TRUE,,
,,,,,,,
例假日,2023/11/12,,2023/11/12,,TRUE,,
,,,,,,,
例假日,2023/11/18,,2023/11/18,,TRUE,,
,,,,,,,
例假日,2023/11/19,,2023/11/19,,TRUE,,
,,,,,,,
例假日,2023/11/25,,2023/11/25,,TRUE,,
,,,,,,,
例假日,2023/11/26,,2023/11/26,,TRUE,,
,,,,,,,
例假日,2023/12/2,,2023/12/2,,TRUE,,
,,,,,,,
例假日,2023/12/3,,2023/12/3,,TRUE,,
,,,,,,,
例假日,2023/12/9,,2023/12/9,,TRUE,,
,,,,,,,
例假日,2023/12/10,,2023/12/10,,TRUE,,
,,,,,,,
例假日,2023/12/16,,2023/12/16,,TRUE,,
,,,,,,,
例假日,2023/12/17,,2023/12/17,,TRUE,,
,,,,,,,
例假日,2023/12/23,,2023/12/23,,TRUE,,
,,,,,,,
例假日,2023/12/24,,2023/12/24,,TRUE,,
,,,,,,,
例假日,2023/12/30,,2023/12/30,,TRUE,,
,,,,,,,
例假日,2023/12/31,,2023/12/31,,TRUE,,
